,topic,model_name,summ_sent,sent_label,exp,type,category
513,Trump's comments about women,model_D,(Source: Betsy Klein),no,Such reference is incorrect,Extrinsic Information,main
534,Dr. Conrad Murray's trial,model_E,Murray administered a fatal dose of Propofol and other drugs to Jackson.,no,"A major point in the trial is where the responsibility lies with administration. Murray is a prescriber, but it has yet been ruled if administration leads to fault",Reasoning Error,main
538,Drugs found in Michael Jackson's system,Model-Extra,"According to Dr. Zeev Cain, who reviewed Michael Jackson's autopsy, Jackson had a lethal cocktail of 6 drugs in his system: Midazolam, Diazepam, Lorazepam, Lidocaine, Epinephrine and Propofol.",no,"While Jackson had a dangerous mix of medications in his system, ""lethal cocktail"" is inflammatory and opinionated .",Nuanced Meaning Shift,main
539,Drugs found in Michael Jackson's system,Model-Extra,"Though Jackson was in good health, these sedatives and anesthetics stopped his breathing and led to his death.",no,"The document suggests that these medications caused Jackson's death based on the toxicology report, but doesn't outright make that conclusion.""",Reasoning Error,main
540,Drugs found in Michael Jackson's system,model_A,"Four drugs were found in Michael Jackson's system, including Midazolam, Diazepam, Lorazepam, and Lidocaine, along with Propofol.",no,The sentence lists five drugs but says four drugs were found in Jackson's system.,Extrinsic Information,main
542,Drugs found in Michael Jackson's system,model_B,"These drugs, particularly Propofol, are used for sedation or medically induced coma in hospitals and should not be used outside of medical settings.",no,"Only Propofol is specifically mentioned not to be used outside of medical settings, though the document says it shouldn't be used in home settings.",Nuanced Meaning Shift,main
543,Drugs found in Michael Jackson's system,model_B,"Dr. Zeev Cain, who saw the toxicology report, stated that Jackson had excellent health overall and did not show signs of chronic illness or addiction.",no,"Cain said he ""expected to see more signs of chronic illness...more signs of an addict."" This does not automatically equal that Jackson had none of these signs.",Reasoning Error,main
544,Drugs found in Michael Jackson's system,model_B,The trial of Dr. Conrad Murray for involuntary manslaughter in Jackson's death is set to begin on Monday.,no,The trial has already begun. It's set to RESUME on Monday.,Nuanced Meaning Shift,main
560,Michael Jackson's cause of death,model_A,"The autopsy report showed he was in good health overall, but there were no signs of chronic illness or addiction.",no,"It is incorrect that there were ""no signs."" It is said that Dr. Cain expected to see ""more signs"" but ""they are not really there"", which means that some signs might still be present.",Reasoning Error,main
561,Michael Jackson's cause of death,model_A,"The drugs were administered by Dr. Conrad Murray, who is charged with involuntary manslaughter.",no,The document does not state that the drugs were actually administered by Dr. Murray.,Extrinsic Information,main
566,Michael Jackson's cause of death,Model-Extra,"An anesthesiologist reviewed Jackson's autopsy and toxicology reports, noting Jackson was in good health but had high levels of propofol, benzodiazepines and other drugs in his system at death.",no,"""benzodiazepines"" are not mentioned in the document; in order to rate this sentence as ""factually consistent"", external knowledge about drug classification is required.",Extrinsic Information,main
567,Michael Jackson's cause of death,Model-Extra,The amount of propofol found could have kept 500 people sedated for 8 hours.,no,"There's no information in the document about sedating ""500 people for 8 hours"". It's said that the amount is enough to put to sleep ""500 people"" or ""to keep somebody sedated for 8 hours.""",Nuanced Meaning Shift,main
578,Michael Jackson's cause of death,model_E,"The trial of Dr. Murray for involuntary manslaughter in Jackson's death began on Monday, November 8, 2011.",no,"The document does not provide information about the date of the trial, it only states that it begins on Monday.",Extrinsic Information,main
591,Election supervisors' views on vulnerabilities,model_D,They have been hesitant to allow government officials to examine the equipment for fear of compromising its security.,no,They simply don't allow them to supervise the equipment.,Nuanced Meaning Shift,main
599,Importance of cybersecurity in voting,Model-Extra,Monitoring and securing the system is critical.,no,"The document does not state that monitoring and securing the voting systems is critical, it discusses the reasons why it is important to have people break into them.",Nuanced Meaning Shift,main
626,Improvements in addressing cyberattacks,model_E,The focus is on addressing vulnerabilities in infrastructure and encouraging collaboration between government and private industry.,no,Nowhere is it mentioned a collaborative strategy between government and private sector.,Extrinsic Information,main
638,Beijing 2008,model_D,"The document discusses the impact of the Olympic Games on the host cities, with a focus on Beijing 2008.",no,"I would not say that the focus is on Beijing 2008 in the document. The speaker discusses Sydney and Atlanta, and talks about Beijing only towards the end briefly.",Nuanced Meaning Shift,marginal
641,Beijing 2008,model_E,"The document discusses the long-term impact of hosting the Olympic Games on cities, with the focus on the upcoming Beijing 2008 Olympic Games.",no,"The focus of the document is not necessarily on Beijing, even though it is discussed towards the end of the document. The speaker, Melinda McKay, focuses more on Sydney as she had first hand experience with the city.",Nuanced Meaning Shift,marginal
642,Beijing 2008,model_E,"It highlights the economic and urban development benefits that host cities can experience, such as increased tourism and revitalization of rundown areas.",no,"""increased tourism"" is not directly mentioned in the source document, even though one may assume that it is part of the economic benefit of hosting the Olympics.",Reasoning Error,marginal
674,Olympic Games,model_D,"Melinda McKay from Jones Lang LaSalle discusses the long-term benefits of hosting the Olympic Games, citing examples from past host cities such as Sydney, Atlanta, Barcelona, and Seoul.",no,"Melinda cites examples of Sydney, responds to the anchor's example of Atlanta, and discusses future prospects of Beijing, but does not cite examples of Barcelona and Seoul.",Extrinsic Information,main
675,Olympic Games,model_D,Beijing plans to spend $12.2 billion on environmental improvements and transport infrastructure and turn its Olympic Village into a 200-acre park.,no,Beijing plans to spend on environmental improvements and transport infrastructure $12.2 billion and $3.7 billion respectively. It cannot be supported by the document that one number is a larger total.,Reasoning Error,main
680,Filibuster-Proof Majority,Model-Extra,This filibuster-proof majority means Democrats can pass legislation without Republican support.,no,This is an unsupported statement,Extrinsic Information,main
681,Filibuster-Proof Majority,Model-Extra,"Though Democrats won't always agree, Franken will likely support Obama on issues like healthcare and climate change.",no,This is an unsupported statement,Extrinsic Information,main
687,Filibuster-Proof Majority,model_C,No longer need to worry about GOP obstructionism.,no,Naive statement not supported by facts described in the text. Republicans are not even mentioned in the text.,Extrinsic Information,main
688,Filibuster-Proof Majority,model_C,"The Democrats now have a filibuster-proof majority in the Senate, meaning they can pass legislation without any Republican support.",no,Naive statement not supported by facts described in the text. Republicans are not even mentioned in the text.,Extrinsic Information,main
694,Michael Jackson's Beatles Catalog,model_A,Michael Jackson owned the rights to the Beatles music library and it is now unclear what will happen to it following his death.,no,The text does not mention Michael Jackson's death.,Extrinsic Information,marginal
697,Michael Jackson's Beatles Catalog,Model-Extra,"With his death, the fate of this prized asset is unclear.",no,The text does not mention Michael Jackson's death.,Extrinsic Information,marginal
698,Michael Jackson's Beatles Catalog,Model-Extra,"The catalog is practically priceless, so Jackson's estate and creditors will likely fight over control and profits from the music.",no,The text does not mention Jackson' estate or creditors involves in gaining control and profits from the music collection.,Extrinsic Information,marginal
699,Michael Jackson's Beatles Catalog,Model-Extra,The Beatles' music rights may be sold to the highest bidder.,no,The text does not mention that there will be a bidding process involved in obtaining the Beatles' music rights.,Extrinsic Information,marginal
700,Michael Jackson's Beatles Catalog,model_B,"Michael Jackson purchased the rights to a Beatles music library, which is now uncertain due to his death.",no,"The text poses the question about what will happen to the rights to the Beatles music library, but does not mention Michael Jackson's death.",Extrinsic Information,marginal
702,Michael Jackson's Beatles Catalog,model_C,Michael Jackson's Beatles catalog remains in question following his death.,no,There is no mention of Michael Jackson's death in the text.,Extrinsic Information,marginal
703,Michael Jackson's Beatles Catalog,model_C,The rights to the vast library were acquired by Jackson in 1985 and have not been officially transferred to his estate.,no,The text does not include details about when the rights to the Beatle's collection were acquired by Jackson.,Extrinsic Information,marginal
704,Michael Jackson's Beatles Catalog,model_C,"The catalog includes hit songs such as ""Hey Jude"" and ""Let It Be.""",no,The text does not specify song titles in the Beatle's catalog owned by Michael Jackson.,Extrinsic Information,marginal
706,Michael Jackson's Beatles Catalog,model_D,It is unclear what will happen to the catalog following Jackson's death.,no,The text does not mention Michael Jackson's death.,Extrinsic Information,marginal
709,Michael Jackson's Beatles Catalog,model_E,The document discusses the fate of Michael Jackson's prized Beatles music library following his death.,no,There is no mention of Michael Jackson's death in the text.,Extrinsic Information,marginal
715,Minnesota Senate Race,model_A,Election results still being counted.,no,The results were confirmed by Iranian leaders.,Contradiction,main
733,Minnesota Senate Race,model_E,Families of those arrested in the election uprising may never see their loved ones again.,no,"The meaning of the sentences ""what happens to those arrested during the uprising? Will their families ever see them again?"" were distorted.",Nuanced Meaning Shift,main
738,Cuban celebration and government gathering,Model-Extra,"170,000 Cubans have private businesses.",no,"The document says that 170,000 Cubans have applied for private business license amid the proposed economic changes from the Castro government. They do not currently have private businesses.",Nuanced Meaning Shift,main
760,Donald Trump's marital status,model_C,He has also had a daughter with his first wife Ivanna and a daughter with his second wife Marla Maples.,no,"While this statement may be true, the text does not specify that Trump had a daughter with Ivanna.",Extrinsic Information,marginal
771,Trump's political aspirations,Model-Extra,He'll announce his decision by June.,no,"Announcing a decision differs from ""[making] a decision,"" which is what the document describes. The decision could be made but not announced until a later time.",Nuanced Meaning Shift,marginal
772,Trump's political aspirations,Model-Extra,"Trump spoke at a Tea Party rally, touting his political aspirations.",no,"This is the incorrect tense since Trump ""is scheduled to speak"" at the rally, meaning he hasn't yet spoken at the rally.",Tense/Modality Error,marginal
773,Trump's political aspirations,Model-Extra,"Despite three marriages and five children with three women, Trump aims to tap into populist anger and run for the Republican nomination.",no,The document doesn't include any mention of Trump tapping into populist anger nor does it specify he's running for the Republican nomination.,Extrinsic Information,marginal
777,Trump's political aspirations,model_B,"He will speak at a Tea Party rally in Boca Raton, Florida, and is scheduled to be interviewed by CNN.",no,There's no mention of Trump being scheduled to be interviewed by CNN.,Extrinsic Information,marginal
779,Trump's political aspirations,model_C,He has three wives and has had a daughter with one of them.,no,Trump has only one wife but has been previously married and divorced twice.,Tense/Modality Error,marginal
780,Trump's political aspirations,model_C,"He is expected to speak at a Tea Party rally in Boca Raton, Florida on April 15th, and is also considering running for Senate in New York.",no,"The date is never specified in the document, nor Trump is considering running President of the United States, not Senate in New York.",Extrinsic Information,marginal
784,Trump's political aspirations,model_E,He has three wives and five children.,no,This is the incorrect tense for what the document actually says. Trump has only one wife but has been previously married and divorced twice.,Tense/Modality Error,marginal
786,Trump's political aspirations,model_E,"He was scheduled to speak at a Tea Party rally in Boca Raton, Florida, and was expected to make a final decision about running for president by June.",no,"The use of the past tense is incongruous with the tense of the prior sentences in the summary about Trump, and it conveys multiple possible meanings. One meaning is that Trump is no longer speaking at the Tea Party rally nor is he expected to make a decision about running for president. Another meaning conveys an ongoing condition/state/event as if the summary was written in the future after all these events ultimately end (I think this is the past continuous tense in English).",Tense/Modality Error,marginal
787,Trump's political aspirations,model_E,Former Egyptian President Hosni Mubarak was under investigation for the deaths of protesters during the recent uprising and was transferred from a hospital in Sharm el Sheikh to a military facility in Cairo.,no,"Similar to sentence [4], the tense is incongruous with the tense of earlier sentences in the summary. The sentence falsely suggests that the the investigation into Mubarak has ended, with a possible (but inaccurate) implication that his transfer from a hospital to a military facility had something to do with it.",Tense/Modality Error,marginal
792,Clerical Error,model_B,A clerk's error has resulted in a man being sent back to prison for a crime he did not commit.,no,This hasn't happened yet. The man could be sent back due to the error.,Tense/Modality Error,main
799,Clerical Error,model_C,Demetrus Anderson was released from prison after serving 13 years for a crime he did not commit due to a clerical error.,no,"Demetrus stayed in prison but it was not ""due to a clerical error"".",Reasoning Error,main
801,Clerical Error,model_D,Demetrus Anderson was released from prison in 2006 after serving time for a crime he did not commit.,no,"1. There is no explicit mention of the year 2006 in the source document.
2. There is no evidence to support the statement ""a crime he did not commit"".",Extrinsic Information,main
802,Clerical Error,model_D,"However, a clerical error caused him to be sentenced as a juvenile offender, and now he faces the possibility of being sent back to federal prison due to the mistake.",no,"""a clerical error"" did not cause him to be sentenced as a juvenile offender.",Reasoning Error,main
811,Justice System,model_A,Demetrus Anderson was released from prison in 2006 but is now facing the possibility of returning to prison due to a clerical error.,no,The document does not give the year when Anderson was released from prison.,Extrinsic Information,main
816,Justice System,model_B,Jones plans to reach out to the White House for assistance.,no,Van Jones had already reached out to the White House by the time this conversation took place.,Tense/Modality Error,main
817,Justice System,model_C,The document discusses a case in which a man named Demetrus Anderson was released from prison after serving a 13-year sentence for a crime he did not commit.,no,The document does not discuss whether or not Anderson actually committed the crime he was imprisoned for.,Extrinsic Information,main
818,Justice System,model_C,"The justice system has failed him, as he is now facing the possibility of being sent back to prison due to a clerical error.",no,"This portrays the opinion of Van Jones (i.e. that the justice system 'failed' Anderson) as a fact. This might be true, but it is still Van Jones' opinion.",Stating Opinion as Fact,main
823,Justice System,model_D,Jones plans to reach out to the White House to see if President Trump will intervene in the case.,no,Van Jones has already reached out to the White House in regard to this case. The tense is wrong and misportays the actions already taken by the time the conversation took place.,Tense/Modality Error,main
825,Justice System,model_E,The justice system is a system of legal procedures and protocols designed to uphold justice and ensure fair trials for individuals accused of crimes.,no,The document does not at all give a high-level description of what the justice system is.,Extrinsic Information,main
826,Justice System,model_E,"It includes courts, law enforcement agencies, prosecutors, defense attorneys, and other legal professionals.",no,The document does not at all give a high-level description of what the justice system is.,Extrinsic Information,main
827,Justice System,model_E,The justice system is intended to provide due process of law and protect the rights of the accused and the victim.,no,The document does not at all give a high-level description of what the justice system is.,Extrinsic Information,main
830,Prison Reform,Model-Extra,Demetrus Anderson was wrongly re-imprisoned 13 years after release.,no,Anderson was released from prison but may face more time. He was not re-imprisoned according to the context of the document.,Contradiction,main
835,Prison Reform,model_B,"Prison reform aims to reduce recidivism by providing prisoners with education, job training, and rehabilitation programs.",no,This statement is not mentioned by anyone in the document,Extrinsic Information,main
837,Prison Reform,model_C,It suggests alternative sentencing and addressing the root causes of crime.,no,"There isn't any mention of ""addressing the root causes"", although this is generally one suggestion when the aspect of prison reform is discussed/debated",Extrinsic Information,main
843,Prison Reform,model_E,Anderson has already served almost 13 years in prison but a clerical error may require him to serve an additional 3 years.,no,No mention of how much more time was tacked on due to the clerical error,Extrinsic Information,main
856,Diplomatic efforts,model_D,"North Korea has announced plans to launch a satellite into orbit, which the US sees as a cover for testing ballistic missile technology.",no,"The launch of a satellite is not mentioned, but diplomatic efforts include nuclear tests and missile launches. It's too much of a leap of reasoning to equate the launches of missiles to that of a satellite/coverup",Extrinsic Information,main
857,Diplomatic efforts,model_D,"China and South Korea have urged North Korea to reconsider its plans, while the US has said it will take action to prevent the launch.",no,"Not only is this information not in the source document, but there is no prevention of the launches happening, satellite or not as the testing had taken place already",Extrinsic Information,main
889,Release of journalists,model_D,"A vigil is planned for the journalists' husbands and Lisa Ling on CNN's ""AC360"" tonight.",no,"The vigil is not planned for the journalists' husbands and Lisa Ling, but they will be in attendance. The vigil is planned to signify the importance of the journalists' release to their loved ones, which is an important distinction regarding the purpose of the vigil.",Mis-Referencing,main
891,Release of journalists,Model-Extra,"Their families plead for their release, saying it was unintentional.",no,"This sentence actually makes the claim that the spying happened and that it was unintentional ('it' in this sentence is coreferent with 'spying' in the first sentence, and the grammar makes the claim that the spying actually happened). This is inconsistent with the caveat that the spying is alleged and not yet a fact.",Nuanced Meaning Shift,main
916,Compromise possibilities,Model-Extra,Compromise may be found in legalizing some immigrants if more security and enforcement also adopted.,no,This statement is making a conclusion that is not explicitly noted in the text.,Reasoning Error,marginal
930,Immigration debate,model_A,Congressmen Ed Royce and Brad Sherman held a hearing in San Diego to discuss the security risks of the U.S.-Mexico border.,no,"1. Royce and Sherman were not the only members of Congress in San Diego there to hold the hearing.
2. Describing the topic of the hearing as ""security risks"" of the border undermines the disagreement since Sherman is questioning the national security focus of the hearing.","Mis-Referencing, Nuanced Meaning Shift",main
931,Immigration debate,model_A,"Democrats criticized the focus on immigration reform as a distraction from more pressing national security concerns, while Republicans emphasized the need for tighter border controls.",no,"Brad Sherman is making the criticisms, not Democrats as a whole.",Mis-Referencing,main
933,Immigration debate,model_B,"In Philadelphia, Senators held a hearing to highlight the value of foreign workers, including those who came to the US illegally.",no,The senators' appearance in Philadelphia is never specifically mentioned to be a hearing.,Nuanced Meaning Shift,main
935,Immigration debate,model_B,"House Democrats say the Bush administration failed to control the border, while Republicans blame Democrats for not securing it.",no,There is no mention in the document of the Republicans blaming the Democrats for not securing the border.,Extrinsic Information,main
937,Immigration debate,model_C,"Representatives held hearings in San Diego and Philadelphia to highlight their respective positions, with Republicans stressing the need for border security and Democrats advocating for the Senate's immigration bill.",no,The Democrats are not specifically mentioned as advocating for the Senate immigration bill.,Extrinsic Information,main
940,Immigration debate,Model-Extra,Democrats said the focus should be on the Canadian border.,no,"Democrats were not necessarily arguing that the focus should be on the Canadian border but pointing out that there are also vulnerabilities there, in addition to the Mexican border.",Nuanced Meaning Shift,main
951,Federal Reserve's policy,Model-Extra,"Though Citigroup is unaffected, rate hikes slowed the economy and volatile markets.",no,"It is incorrect that Citigroup is ""unaffected."" Mr. Weill says that Citigroup is ""not really that affected"", which means the company has experienced some effect of higher interest rates.",Nuanced Meaning Shift,main
961,Federal Reserve's policy,model_E,"The Federal Reserve is expected to continue raising interest rates to cool down the economy, which has been experiencing a slowdown.",no,"The source document does not say that the economy ""has been experiencing a slowdown"", Mr. Weill says that he thinks we are starting ""to see the beginning of a slowdown.""",Nuanced Meaning Shift,main
962,Federal Reserve's policy,model_E,"The value of technology stocks may fluctuate, but the company's performance is not heavily impacted by interest rate increases.",no,The contrast between the value of technology stocks and the company's performance in this sentence is not in accordance with the source document.,Reasoning Error,main
963,Federal Reserve's policy,model_E,"The global economy is growing, with Asia and Latin America leading the way, and Citigroup is expanding in these regions through strategic partnerships.",no,"1. The document does not say that Asia and Latin America are ""leading the way"" in the economy growth.
2. There is also no information about Citigroup expanding to Latin America.","Nuanced Meaning Shift, Extrinsic Information",main
968,Global growth and international expansion,model_A,"Sandy Weill, CEO of Citigroup, believes the global economy is in great shape, with Asia, Latin America, and Europe growing.",no,"Per source document Europe is ""starting to grow"", not ""growing"" as claimed in the sentence.",Nuanced Meaning Shift,main
970,Global growth and international expansion,model_A,They are buying Bank Hanloi in Poland and forming a strategic relationship with the Fubon Group in Taiwan to grow their insurance businesses.,no,"1. While Citigroup is in the process of buying Polish bank, the partnership ""with the Fubon Group"" has been announced, so the presentation of it as ""forming"" is not accurate.
2. Also, the statement format implies that both the acquisition of the bank and partnership with Fubon Group are both meant to ""grow their insurance businesses"", but this is not apparent from the source. The goal of the acquisition of Polish bank is not mention to be as ""growing insurance business"" in particular.",Reasoning Error,main
972,Global growth and international expansion,model_B,"He sees the US economy cooling down and becoming more competitive, while emerging markets offer higher growth rates.",no,"The claim that the US economy is ""becoming more competitive"" is not grounded in the source document.",Extrinsic Information,main
973,Global growth and international expansion,model_B,Citigroup has acquired Bank Handlowy in Poland and formed a strategic relationship with the Fubon Group in Taiwan to grow its insurance business in Asia.,no,"Per source document Citigroup ""took one step closer to the purchase"" of ""Bank Hanloi (ph)"", so the presentation of the event in perfective tense ""has acquired"" is not accurate.",Tense/Modality Error,main
976,Global growth and international expansion,model_C,The company is expanding in Asia and Europe through strategic partnerships.,no,"The Citigroup expansion in ""Europe through strategic partnerships"" is not mentioned in the source document. The only strategic partnership mentioned is in Asia (Taiwan).",Reasoning Error,main
979,Global growth and international expansion,model_E,Citigroup is investing in Poland's biggest corporate bank and has a strategic relationship with a Taiwanese insurance group.,no,"""Taiwanese insurance group"" is not an accurate description of ""Fubon Group in Taiwan"". Even though it is mentioned that Citigroup formed partnership with them with hopes to grow their insurance business, Fubon Group is not an ""insurance group"" specifically and it is not mentioned in the source.",Nuanced Meaning Shift,main
980,Impact of interest rates on stock market,model_A,Interest rate hikes can negatively impact the stock market by increasing borrowing costs for companies and reducing investor confidence.,no,The document does not discuss in a high-level way how interest rate hikes can affect the stock market.,Extrinsic Information,main
981,Impact of interest rates on stock market,model_A,"However, higher rates can also lead to increased profitability for banks and stabilize the economy.",no,The document does not discuss in a high-level way how interest rate hikes can affect the stock market.,Extrinsic Information,main
999,Impact of interest rates on stock market,model_E,"The chairman and CEO of Citigroup, Sandy Weill, is optimistic about the global economy, stating that Asia and Latin America are growing, and Europe is starting to recover.",no,"Weill says that Europe is starting to grow, not recover.",Nuanced Meaning Shift,main
1007,Intelligence gathering,Model-Extra,"Officials say prisoners reveal info on Taliban bases, strategy and bin Laden.",no,"The claim that POWs provide ""information on bin Laden"" is not grounded in the source document. Per source the prisoners are investigated to gather ""intelligence on enemy bases and military strategy"". The information on bin Laden may come from ""more prisoners from a fresh upsurge in fighting"".",Reasoning Error,main
1008,Intelligence gathering,Model-Extra,"Despite years of captivity, prisoners still provide intelligence.",no,"The claim is inaccurate as according to the source prisoners are no use for ""much intelligence gathering"" anymore because they ""have already been held for years"".",Contradiction,main
1009,Intelligence gathering,Model-Extra,The NA shares info with the US and expects a joint US attack.,no,"It is not clear from the source document that the intelligence is being shared with the US, it is stated that it could be used by Americans ""if they would ask"". The conditional statement suggests that Americans ""did not ask for it yet.""",Reasoning Error,main
1036,Northern Alliance,Model-Extra,They claim some prisoners have information on Al Qaeda and bin Laden.,no,The Al Qaeda is not mentioned in the dialog.,Extrinsic Information,main
1041,Prisoners of War,Model-Extra,An official says they provide intelligence on the Taliban and Al Qaeda.,no,"The text mentions that the Northern Alliance provide intelligence on the Taliban, but there is no mention of Al Qaeda.",Extrinsic Information,main
1048,Prisoners of War,model_C,These prisoners of war are held in camps and are being investigated for valuable intelligence on enemy bases and military strategy.,no,"The text mentions that many not all prisoners, but ""a lot of them are held in prisoner of war camps.""",Nuanced Meaning Shift,main
1058,Educate to Innovate Campaign,model_A,"The private sector has committed over $260 million to the campaign, and the initial focus is on reaching young students with interactive science content.",no,"The document does not state that ""reaching young students with interactive science content"" is the initial focus of the campaign. It is an example of what one of the partners, Discovery Communications, is going to do as part of the campaign.",Reasoning Error,main
1059,Educate to Innovate Campaign,model_B,"President Obama launched the ""Educate to Innovate Campaign,"" a nationwide effort to improve math and science education, with a commitment of $260 million from private companies and organizations.",no,"The initial commitment is said to be ""more than $260 million.""",Nuanced Meaning Shift,main
1095,Science Education Initiatives,Model-Extra,"The ""Educate to Innovate"" campaign includes $260M in commitments to support STEM programs, engage students in hands-on learning, develop video games and improve teacher training.",no,"The description ""campaign included $260M"" is not entirely accurate as per source ""initial commitment of the private sector to this campaign is more than $260 million"".",Nuanced Meaning Shift,main
1124,Allegations of sexual abuse against R. Kelly,model_D,"While Kelly was at a nightclub, he made a defiant statement to the crowd.",no,It is not clear whether the statement is defiant in the source document.,Extrinsic Information,main
1129,Lady Gaga's apology and decision to remove music featuring R. Kelly,Model-Extra,She is removing their song from streaming services.,no,"The document says she is removing ""all their music,"" which implies there is more than one song.",Nuanced Meaning Shift,main
1134,Lady Gaga's apology and decision to remove music featuring R. Kelly,model_A,"She had previously collaborated with him on a song and performed it on ""Saturday Night Live"" despite concerns about his behavior.",no,The document doesn't state whether the SNL performance occurred despite concerns about his behavior.,Reasoning Error,main
1137,Lady Gaga's apology and decision to remove music featuring R. Kelly,model_B,Lady Gaga's decision was due to her own past experiences with sexual assault.,no,"While this information about Lady Gaga is in the document, this particular conclusion cannot be positively drawn because she mentions her experience when explaining the decision to make the song and video, not pulling the music they made together.",Reasoning Error,main
1156,R. Kelly and Lady Gaga's collaboration,model_C,R. Kelly has been spotted performing at a club and insists he has done nothing wrong.,no,"There is no explicit mention of the phrase ""he insists he has done nothing wrong.""",Extrinsic Information,main
1162,R. Kelly and Lady Gaga's collaboration,model_E,Gaga's apology has been seen as a significant move in the growing backlash against Kelly.,no,"The summary meaning was changed. The summary seems to have been created based on the sentence ""Lady Gaga's apology went a long way, but she had a glaring omission in that apology.""",Reasoning Error,main
1166,Assistive devices,model_B,"Bill Sand designs and builds custom assistive devices for people with disabilities, including a scooter for a little girl who can't walk and cello stands for sisters with arms.",no,The cello stand is designed for sisters who don't have arms and play with their feet,Contradiction,main
1178,Assistive devices,Model-Extra,The group hopes to expand nationally to help millions pursue their passions.,no,The sentence omits a crucial detail: it is millions who are disabled the organization wishes to help,Nuanced Meaning Shift,main
1179,Disability aids,model_A,"A group called May We Help, based in Cincinnati, Ohio, provides handymen, technicians and engineers to help people with disabilities access devices to help them live more independently.",no,"The document does not state that the purpose of the devices is to help people with disabilities live ""more independently"", the purpose is to help them do more things and pursue their passions.",Nuanced Meaning Shift,main
1185,Disability aids,Model-Extra,The group hopes to expand nationally to help millions with disabilities.,no,"The group is hoping to expand beyond the Midwest and set a chapter in Florida, but it isn't said that they aim to do it nationally, which would mean reaching people across the entire country.",Nuanced Meaning Shift,main
1191,Disability aids,model_C,The group aims to expand their reach and help more individuals across the country.,no,"According to the document, the group is hoping to expand beyond the Midwest and set a chapter in Florida, but it isn't said that they aim to do it across the country.",Nuanced Meaning Shift,main
1196,Disability aids,model_E,"One member of the group, Bill Sand, has made a scooter for a little girl who cannot walk, cello stands for two sisters who do not have arms, and a special walker for a nine-year-old girl with a rare genetic condition.",no,"The document says that Bill has made several devices for the nine-year-old girl with a rare genetic condition and that she needs a special walker, but it does not say if Bill has made one for her.",Reasoning Error,main
1215,Medical condition of survivor,model_A,He is shocked that the recent 15-year-old stowaway survived with no lasting side effects.,no,"There is no information in the document that the boy has no long-lasting effects. It is said that he ""managed to not have any effects"" of the extreme conditions he survived, but long-lasting side effects could or could not develop later (according to Pereira, the results of surviving may be unknown until ""many years later"").",Extrinsic Information,main
1217,Medical condition of survivor,model_B,"He was ""frozen"" and unconscious upon arrival but had no lasting side effects.",no,"It is unknown whether the man had any lasting side effects - Dr. Dorian who treated him states that there was nothing when the man was discharged, but something ""may come up"" later.",Extrinsic Information,main
1218,Medical condition of survivor,model_B,"The teen who recently survived a 5.5 hour flight from CA to HI in a wheel well was in a ""suspended state"" due to lack of oxygen and cold temperature, and was able to walk away from the incident with no apparent injuries.",no,"The document does not say if the boy had ""no apparent injuries"", it says that he was mostly able to walk on his own.",Extrinsic Information,main
1221,Medical condition of survivor,model_C,"The boy's core body temperature was below 80 degrees, and he needed intubation, chest tubes, and other critical measures to keep him alive.",no,"The condition described is about the man who survived in 2000, not about the 15-year-old boy.",Mis-Referencing,main
1228,Medical condition of survivor,model_D,The 15-year-old boy in the recent incident was able to walk away from the landing with no apparent long-term side effects.,no,"The document states that the boy was ""mostly able to walk on his own"" after the incident, but there is no information about whether he has or has not any long-term side effects.",Extrinsic Information,main
1245,Rarity of survival in such circumstances,model_E,"The survival of a 15-year-old boy who stowed away in the wheel well of a plane for over 5 hours is extremely rare, as it is not known to have happened before.",no,"""it is not known to have happened before"" is not correct as it is mentioned in the source document that ""in 2000 a man survived a 7-1/2-hour flight from Tahiti to Los Angeles"" in a similar circumstance.",Contradiction,main
1261,Survival of stowaway in plane wheel well,model_C,"Doctor describes him as frozen and unconscious upon arrival, but walked away mostly able to move on his own power.",no,"The boy was not described as frozen and unconscious upon arrival, but he was able to walk away on his own after landing. This sentence conflates the events of the 2000 case of the man and the present case of the 15-year-old buy.",Mis-Referencing,main
1262,Survival of stowaway in plane wheel well,model_C,Planets aligned for perfect storm of disaster.,no,"This misrepresents the meaning and metaphorical intent of the phrases 'the planets aligned' and 'the perfect storm'. In the summary, they appear to be being used literally as though the planets actually aligned and there was indeed a perfect storm. However, they are merely figures of speech, which is not represented in the summary.",Reasoning Error,main
1265,Survival of stowaway in plane wheel well,model_D,Both cases were rare and required critical care to keep the patients alive.,no,"The man required critical care to stay alive after his journey in the wheel well, whereas the boy did not require any critical care to stay alive.",Mis-Referencing,main
1266,Survival of stowaway in plane wheel well,model_D,"The first man had no lasting side effects, while the boy had no memory of the flight.",no,"1. It is not certain that the man had no lasting side effects, though the doctor speculated that this was the case.
2. Similarly, the doctor also speculated that the boy had no memory of the flight. 
The portrayal of these details from the document in this summary is too black-and-white to be an accurate representation of the expressed knowledge of the doctor.",Nuanced Meaning Shift,main
1272,Russia probe updates,Model-Extra,Dems questioned his qualifications.,no,"It is not said that ""Dems"" (democrats) in general share this concern, only one democrat is quoted (Hakeem Jeffries).",Mis-Referencing,marginal
1273,Russia probe updates,Model-Extra,Whitaker dodged questions on Mueller probe.,no,"""Mueller probe"" is not mentioned in the source document.",Extrinsic Information,marginal
