,topic,model_name,summ_sent,sent_label,exp,type,category
683,Seaport Village Complex,model_A,"The Seaport Village Complex is a shopping and dining destination in Long Beach, California.",no,"The text does not mention what the Seaport Village Complex is. Also, the text mentions the complex's general location, but not the city and state it is located in.",Extrinsic Information,marginal
685,Seaport Village Complex,model_B,The document is a report from Public Works recommending the vacation of streets and alleys within the Seaport Village Complex in District 8.,no,"The document is not a report from Public Works, but mentions Public Works and their recommendations.",Contradiction,marginal
690,Seaport Village Complex,Model-Extra,The city council voted to vacate several streets and alleys within the Seaport Village retail complex to allow the Port of Long Beach to redevelop the area.,no,"The text mentions that a report to vacate several streets and alleys within the Seaport Village Complex, but it does not mention allows redevelopment of the area and the city council does not vote on it.",Extrinsic Information,marginal
691,Seaport Village Complex,Model-Extra,"The streets were found to no longer be needed for public use, allowing the redevelopment of the complex with new dining, entertainment, and commercial options.",no,"The text mentions that the report found that the streets were no longer needed for public use, but there is no mention redevelopment or what that redevelopment would include.",Extrinsic Information,marginal
703,Council Bill 120264,model_A,The bill was passed unanimously out of committee with five councilmembers voting in favor and nine opposed.,no,"Under the document context, ""none"" is possibly incorrectly written as ""nine"" due to transcription error. Further, according to the second rate, there are 7 votes in favor (yes, all right, I).",Reasoning Error,main
705,Council Bill 120264,model_B,The bill was passed unanimously with nine councilmembers voting in favor and none opposed.,no,"Per source, the legislation was passed unanimously out of committee with five councilmembers voting in favor and ""none"" opposed (""none"" is possibly incorrectly written as ""nine"" due to transcription error), so ""nine councilmembers voting in favor and none opposed"" not right. During the second vote that is described in the document, there were seven votes in favor (yes, all right, I), so in both scenarios, the claim is not accurate.",Reasoning Error,main
715,Council Bill 120264,model_E,It passed unanimously in committee with five in favor and nine opposed.,no,"Per source the bill was passed unanimously out of committee with five councilmembers voting in favor and ""none"" opposed (""none"" is possibly incorrectly written as ""nine"" due to transcription error). In second committee voting result was seven in favor (if we count all yes, all right, I).",Reasoning Error,main
723,Permits in Parks,model_B,The bill was passed unanimously out of committee with some councilmembers voting in favor and nine opposed.,no,"Per source doc, ""none"" opposed (""none"" is possibly incorrectly written as ""nine"" due to transcription error). According to the second rate, there are 7 votes in favor (yes, all right, I) and no opposed.",Reasoning Error,main
736,Regulation of Commercial Activity,model_A,The legislation passed unanimously out of committee with five council members in favor and nine opposed.,no,"Per source doc, ""none"" opposed (""none"" is possibly incorrectly written as ""nine"" due to transcription error). According to the second rate, there are 7 votes in favor (yes, all right, I) and no opposed.",Reasoning Error,main
744,Regulation of Commercial Activity,model_B,"The legislation was passed unanimously out of committee, with five councilmembers voting in favor and nine opposed.",no,"Per source doc, ""none"" opposed (""none"" is possibly incorrectly written as ""nine"" due to transcription error). According to the second rate, there are 7 votes in favor (yes, all right, I) and no opposed.",Reasoning Error,main
746,Regulation of Commercial Activity,model_C,"The system would permit certain activities such as exercise classes or seasonal food concessions, but not allow for large commercial events or activities that disrupt the park's intended use.",no,"The text mentions that a permit would be needed for certain activities, but it does not mention large commercial events or activities that could disrupt the park's intended use.",Extrinsic Information,main
752,Regulation of Commercial Activity,model_E,It passed unanimously with a virtual gavel to maintain decorum.,no,"The text mentions that the bill passed unanimously, but there virtual gavel being used to maintain decorum is not related to the bill.",Extrinsic Information,main
758,Elected Members of Civil Service Commission,model_B,The change is only for 2020 and does not affect the Seattle Municipal Code.,no,"Per source document, ""There are some municipal code changes"".",Contradiction,marginal
760,Elected Members of Civil Service Commission,model_C,Agenda Item two relates to the Public Safety Civil Service Commission and is a companion bill to 119945.,no,There is not Agenda item two relating to the Public Safety Civil Service Commission or companion bill to 119945 in the document.,Extrinsic Information,marginal
761,Elected Members of Civil Service Commission,model_C,It amends the Seattle Municipal Code to clarify the authority of the commission to make rules and establish procedures for elections of its members.,no,"Since there isn't an Agenda item two or companion bill to 119945, it's not possible for the Seattle Municipal Bill to be amended. However, the document explicitly states that 119945 amends ordinance ""section[s] 4.04.250 and 4.08.040 of the standards for code and ratifying and confirming search and prior acts"" rather than the municipal code itself.",Reasoning Error,marginal
762,Elected Members of Civil Service Commission,model_C,Agenda Item three relates to the Seattle Ethics and Elections Commission and amends the Seattle Municipal Code to allow the commission to establish rules and procedures for conducting elections for its members.,no,The document doesn't include any mention of the Ethics and Elections Commission.,Extrinsic Information,marginal
763,Elected Members of Civil Service Commission,model_C,Agenda Item four relates to the Seattle Lodging Tax Advisory Committee and amends the Seattle Municipal Code to clarify the authority of the committee to make recommendations to the city council regarding the use of lodging tax funds.,no,The document doesn't include any mention of the Seattle Lodging Tax Advisory Committee.,Extrinsic Information,marginal
764,Elected Members of Civil Service Commission,model_C,Agenda Item five relates to the Seattle Firefighters' Pension Fund and amends the Seattle Municipal Code to update the fund's name and clarify its responsibilities.,no,The document doesn't include any mention of the Firefighters Pension Fund.,Extrinsic Information,marginal
772,Elected Members of Civil Service Commission,model_E,The bill passed with nine in favor and nine opposed.,no,"Per source the bill was passed unanimously out of committee with ""five"" councilmembers voting in favor and ""none"" opposed (""none"" is possibly incorrectly written as ""nine"" due to transcription error). In second committee voting result was seven in favor (if we count all yes, all right, I). In both scenarios, the claim is not accurate.",Reasoning Error,marginal
781,Public Safety Civil Service Commission,model_B,The bill was passed with nine in favor and nine opposed.,no,"Per source the bill was passed unanimously out of committee with ""five"" councilmembers voting in favor and ""none"" opposed (""none"" is possibly incorrectly written as ""nine"" due to transcription error). In second committee voting result was seven in favor (if we count all yes, all right, I). In both scenarios, the claim is not accurate.",Reasoning Error,main
783,Public Safety Civil Service Commission,model_C,"Council Bill 119946 reappoints two members, and Council Bill 119947 appoints a new member.",no,Council Bill 119946 and 119947 are not mentioned in the source.,Extrinsic Information,main
784,Public Safety Civil Service Commission,model_C,The appointments are effective immediately.,no,This statement cannot be verified.,Extrinsic Information,main
798,Election Procedures for Employing Elected Members,model_B,It also modernizes the election process by rule in the future.,no,"The statement that ""It also modernizes the election process"" is not accurate as per source it ""allows"" the city clerk to modernize the election.",Nuanced Meaning Shift,main
806,Election Procedures for Employing Elected Members,model_E,It allows for electronic ballots and changes the election schedule to December from November for 2020.,no,"It does not ""change"" the election schedule to December from November for 2020, but it ""allows the city clerk"" to change it. I think there is a distinction there because ""allows"" does not mean that the date ""will"" be changed necessarily.",Reasoning Error,main
832,City Department's Commitment to Protecting Consumer Data,model_C,The AMI technology will monitor energy efficiency and improve data collection for billing.,no,"This sentence, in the text, referred to AI (Artificial Intelligence) rather than AMI (Advanced Metering Infrastructure). While certainly overlapping, they are not synonyms.",Mis-Referencing,main
834,City Department's Commitment to Protecting Consumer Data,model_C,"The Housing, Health, Energy, and Workers Rights Committee recommends the appointment of Perdita about House Member 2016 Housing Levy Oversight Committee for Term.",no,There is nothing about recommending Perdita in the text.,Extrinsic Information,main
842,Limits on Fees Associated with Opting Out,model_B,The document is about the appointment of a member to the Housing Levy Oversight Committee.,no,"The appointment of a member to the Housing Levy Oversight Committee is just one item (item eight) on the agenda that is barely touched upon in the last sentence of the document. So to say that ""the document"" is about this appointment is not factual.",Reasoning Error,marginal
843,Limits on Fees Associated with Opting Out,model_B,The new member will serve a term and have limits on fees associated with opting out.,no,"This sentence combines unrelated facts - ""The new member will serve a term"" has nothing to do with ""limits on fees associated with opting out"". ""Limit on fees"" relates to opting out of ""AMI technology"" per source document.",Reasoning Error,marginal
875,National Resolution Support,Model-Extra,The council unanimously voted to raise local awareness of this important issue.,no,"The text does not indicate that the council voted unanimously to raise local awareness of this important issue, but it does mention that the motion to request a resolution in support of National Teen Dating Violence Awareness and Prevention Month carried.",Extrinsic Information,main
897,Local Commitment to Prevention,model_B,The document discusses a council member's recommendation to support National Teen Dating Violence Awareness and Prevention Month in February.,no,"The text indicates that the recommendation to support t National Teen Dating Violence Awareness and Prevention Month in February came from several council members, including Council member Richardson, Councilwoman Gonzalez, Councilman Price and Councilman Austin.",Mis-Referencing,main
907,Local Commitment to Prevention,model_E,"Councilwoman Gonzalez, Councilman Price, and Councilman Austin support the resolution to raise awareness about dating violence among teens and promote prevention programs.",no,"The text mentions that Councilwoman Gonzalez, Councilman Price, and Councilman Austin support the resolution to raise awareness about dating violence among teens and promote prevention programs; however, Councilman Richardson also supports the resolution.",Mis-Referencing,main
911,Bike Share Program,model_A,The program aims to expand from 700 to 7000 bicycles and is currently operated by a company contracted by MTC.,no,"The source article states the program already expanded from 700 to 7000 bicycles in Oakland, San Francisco , San Jose, Emeryville and Berkeley, not ""aims to expand""",Tense/Modality Error,main
919,Bike Share Program,model_C,"The City Council is considering including Alameda in the Bay Area Bike Share Program, which is operated by MTC with 7000 bicycles in six cities.",no,"In the source article, there are currently five cities, not six that are a part of the Bay Area Bike Share Program.",Mis-Referencing,main
973,Resolution 31764,model_C,"The resolution recognizes the City's letter of June 26, 2022, and adds it as an attachment.",no,The year is not mentioned in the document.,Extrinsic Information,main
995,Council Negotiations,model_A,"Council negotiations discussed in the document include the redevelopment of KeyArena into a state-of-the-art entertainment and sports center, and the possibility of Oak View Group, LLC operating the arena.",no,"The document states that the resolution is related to City of Seattle negotiating with Oak View Group, LLC regarding the possible redevelopment operation. The summary sentence's wording frames Oak View Group's involvement as a possible operator (as in manager) of the arena upon completion rather than the ones in charge of developing it (""вЂ¦ negotiation with Oak View Group, LLC regarding the possible redevelopment operation of the Arena at Seattle Center"").",Nuanced Meaning Shift,main
1005,Council Negotiations,model_C,The document outlines the Council's negotiation process with Oak View Group regarding the potential redevelopment of the Arena at Seattle Center.,no,The document outlines the passage of memo expressing the Council's support of the City of Seattle negotiating with Oak View Group. There is no negotiation process with Oak View Group outlined int he document.,Reasoning Error,main
1009,Council Negotiations,model_D,"Councilmember Juarez moved to substitute version 2 of the resolution for version 1B, which was seconded and passed.",no,Councilman Juarez didn't move to substitute version 2 for version 1B. Councilmember Herbold made that move to substitute.,Mis-Referencing,main
1010,Council Negotiations,model_D,"The substitute added language recognizing a previous Council letter, incorporating edits to memorialize Councilmember Suarez's work on an independent financial review, and adding context regarding the Council's goal to take final action by the end of the year.",no,Councilmember Juarez didn't work on the independent financial review but spearheaded the word for an independent council consultant for Financial Review.,Mis-Referencing,main
1017,Body Worn Camera Policy,Model-Extra,The funds would be used to purchase additional cameras to reach full deployment.,no,"Per source document, ""receive and expend grant funding up to 368,000 for body worn camera policy and implementation program."" The document does not mention how the funds would be used.",Extrinsic Information,main
1030,Body Worn Camera Policy,model_E,"The ""Body Worn Camera Policy"" outlines the guidelines and procedures for the use of body worn cameras by law enforcement agencies in the city.",no,"The source document does not include information on what the policy outlines, so the sentence is not factually grounded.",Extrinsic Information,main
1031,Body Worn Camera Policy,model_E,"The policy aims to increase transparency and accountability, while also protecting the privacy of individuals.",no,This sentence is not grounded in the source document.,Reasoning Error,main
1032,Body Worn Camera Policy,model_E,"The policy includes guidelines for the deployment, use, and storage of body worn cameras, as well as procedures for the review, release, and retention of footage.",no,The source document does not include information to support the claims in this sentence.,Reasoning Error,main
1033,Body Worn Camera Policy,model_E,"The policy also addresses concerns around data security, cybersecurity and privacy.",no,"The information in this sentence is not grounded in the source. There is a question about ""where body worn cameras would be deployed"" from one councilmember given ""public safety committee back on the days push for this particular body worn camera policy.""",Reasoning Error,main
1038,Grant Funding Allocation,model_B,The document outlines a request for grant funding allocation from the city to the police department to implement a body worn camera policy and program.,no,"Per source, it is a recommendation from Police Department, not a ""request"".",Nuanced Meaning Shift,main
1039,Grant Funding Allocation,model_B,"The funding will be used for body worn cameras and associated equipment, training, and implementation costs.",no,"Per source document, ""receive and expend grant funding up to 368,000 for body worn camera policy and implementation program."" The document does not mention how the funds would be used.",Extrinsic Information,main
1041,Grant Funding Allocation,model_B,"The police department plans to deploy the cameras to patrol personnel and specialized units, with evidence.com serving as the storage platform.",no,"According to the source, the body worn cameras are already deployed to patrol personnel and some special specialized units, and the future goal is ""full deployment for entire staff"".",Nuanced Meaning Shift,main
1044,Grant Funding Allocation,model_D,"The Police Department is requesting authorization to receive and spend grant funding of up to $368,000 for the implementation of a body-worn camera policy.",no,"1. Per source document, it is a recommendation from Police Department, not a ""request"".
2. Per source document, ""the city manager"" would receive and expend grant, not Police Department.","Mis-Referencing, Nuanced Meaning Shift",main
1047,Grant Funding Allocation,model_E,The city council discussed and approved grant funding allocation for various programs including body worn camera policy implementation and support for law enforcement agencies.,no,"No other programs are discussed in the source, so "" for various programs"" claim is not accurate.",Mis-Referencing,main
1050,Cost Analysis of Body Worn Cameras,model_A,Body worn cameras have decreased the number of complaints against police officers while increasing officer safety.,no,The sentence is not grounded in the source. There is no mention of the number of complaints being decreases or the benefit to the increased safety.,Extrinsic Information,marginal
1051,Cost Analysis of Body Worn Cameras,model_A,The cost of implementing and maintaining body worn cameras is significant but justifies the benefits received.,no,"While the sentence appears to be logical, it is not grounded in the source document. ""cost analysis"" is mentioned as something that should be ""report back at some point"" only, without any details.",Reasoning Error,marginal
1054,Cost Analysis of Body Worn Cameras,Model-Extra,"The police chief agreed to provide a report on costs, storage, and camera details, as council seeks full deployment and uses Axon cameras and Evidence.com storage.",no,"The claim is not entirely accurate, as per source the police chief did agreed to provide a report on cost, but not on ""storage, and camera details"".",Extrinsic Information,marginal
1055,Cost Analysis of Body Worn Cameras,model_B,"The provided document presents a cost analysis of body worn cameras for law enforcement agencies, including equipment, storage, and personnel costs.",no,"The document does not present ""cost analysis"" and ""personnel cost"" is not discussed. The document included the discussion of the recommendation ""to authorize the city manager to receive and expend grant funding up to 368,000 for body worn camera policy""",Extrinsic Information,marginal
1056,Cost Analysis of Body Worn Cameras,model_B,"The total cost of deployment can reach up to 600,000 per year per agency, with ongoing storage and maintenance expenses.",no,"The total cost of deployment is not discussed in the source, and the numbers ""600,000 per year per agency"" is not mentioned.",Extrinsic Information,marginal
1057,Cost Analysis of Body Worn Cameras,model_B,"The actual costs may vary depending on the size of the agency, the type of camera used, and the storage platform employed.",no,The sentence claim is not grounded in the source document.,Extrinsic Information,marginal
1058,Cost Analysis of Body Worn Cameras,model_B,The report suggests that a long-term plan for funding the deployment and maintenance of body worn cameras is necessary to ensure sustainability.,no,"Again, this claim is not grounded in the source. There is no mention of the long-term sustainability goal or the maintenance of the body cameras.",Extrinsic Information,marginal
1073,Employee benefits,model_A,"The employee benefits include paid leave, health insurance, and other support services.",no,"There is no information about what the benefits include. The document only says that ""certain benefits"" are provided.",Extrinsic Information,marginal
1075,Employee benefits,model_B,The document is about authorizing a memorandum of understanding for employee benefits during a civil emergency.,no,"The document is not about authorizing a memorandum of understanding, it is about authorizing execution of a collective bargaining agreement. The memorandum of understanding is mentioned as item 3 of the agenda, but is not discussed in the document.",Extrinsic Information,marginal
1080,Employee benefits,model_E,"The memorandum of understanding outlines employee benefits such as paid leave, flexible work arrangements, and health and wellness resources.",no,"The document does not have information about ""aid leave, flexible work arrangements, and health and wellness resources"". It only says that ""certain benefits"" are provided.",Extrinsic Information,marginal
1081,Employee benefits,Model-Extra,The city council passed a bill authorizing a memorandum of understanding providing paid leave and health benefits for city employees during the COVID-19 emergency as allowed under the Families First Coronavirus Response Act.,no,"1. This bill is part of the agenda discussed by the city council, but no information about the city actually passing it is present.
2. There is no mention of a memorandum of understanding that provides ""paid leave and health benefits."" The document states that ""certain"" benefits are provided under the Families First Coronavirus Response Act.",Extrinsic Information,marginal
1082,Civil emergency declaration,Model-Extra,"The city council passed legislation authorizing an agreement with city employees regarding paid leave and benefits during the COVID-19 civil emergency declared on March 3, 2020.",no,"1. The document mentions that item three will be about civil emergency declared on March 3, 2020, but it is unknown whether the legislation was passed by the city.
2. There is no mention that the agreement was in regards to ""paid leave"". The document only mentions that ""certain"" benefits were provided.",Extrinsic Information,marginal
1084,Civil emergency declaration,model_A,The document is related to a civil emergency declaration for the COVID-19 pandemic and authorizes execution of a memorandum of understanding for providing certain benefits to employees under the Families First Coronavirus Response Act.,no,"The source document does not focus on the civil emergency declaration. It is only mentioned as Item 3 of the agenda, and has not been elaborated upon.",Nuanced Meaning Shift,marginal
1087,Civil emergency declaration,model_C,It outlines the benefits and conditions for employees using relief under the Families First Coronavirus Response Act.,no,"The document does not outline any benefits or conditions, it only mentions that ""certain"" benefits are provided.",Extrinsic Information,marginal
1088,Civil emergency declaration,model_D,"Agenda Item three is a resolution that authorizes the execution of a memorandum of understanding for flexibility in response to a civil emergency declared by the governor on March 3, 2020, providing certain benefits and conditions for employees using relief pursuant to the Families First Coronavirus Response Act.",no,The document does not say that the civil emergency was declared by the governor.,Extrinsic Information,marginal
1098,Entertainment Without Dancing,model_A,"Conditions for the granting of an Entertainment Without Dancing permit for the Good Bar and Eatery at 3316 East Seventh Street in Council District 2 include the requirement that no live music or entertainment be provided between the hours of 10 PM and 7 AM, and that the establishment maintain a noise level of no more than 65 decibels during business hours.",no,"There is no explicit mention of ""the hours of 10 PM and 7 AM"" and ""65 decibels"" in the source document.",Extrinsic Information,main
1101,Entertainment Without Dancing,model_B,These include restrictions on live music and the need for a sound engineer to monitor noise levels.,no,These restrictions are not mentioned in the document.,Extrinsic Information,main
1102,Entertainment Without Dancing,model_B,The document also includes conditions regarding the sale and consumption of alcoholic beverages on the premises.,no,There is no explicit mention of the sentence in the source document.,Extrinsic Information,main
1110,Entertainment Without Dancing,Model-Extra,The council unanimously approved the permit.,no,"There is no explicit mention of ""unanimously"" in the source document.",Extrinsic Information,main
1118,Financial Management Recommendation,Model-Extra,"After reviewing the application and conditions, the department, along with the Police, recommended approval.",no,"The document does not state that the departments recommended approval. It is said that the necessary departments ""provided recommended conditions"" (passive voice ""are provided"" could be a transcription error).",Extrinsic Information,main
1122,Financial Management Recommendation,model_B,The document outlines necessary conditions for the venue to receive an entertainment permit.,no,The document does not outline the necessary conditions. It only states that all the necessary departments provided their recommended conditions.,Extrinsic Information,main
1130,Entertainment Permit Grant,model_A,"A business named The Good Barn Eatery, doing business as the good bar and eatery, is applying for an Entertainment Without Dancing permit for their location at 3316 East Seventh Street in Council District two.",no,"The business is named Toshiko LLC, not The Good Barn Eatery.",Mis-Referencing,main
1132,Entertainment Permit Grant,model_A,There have been no public comments on the hearing.,no,Andy Carter is giving public comments on hearing.,Contradiction,main
1133,Entertainment Permit Grant,model_A,The council will vote on whether to grant an entertainment permit with the recommended conditions.,no,The tense is incorrect. They have voted after the hearing.,Tense/Modality Error,main
1147,Supportive Housing Facilities,Model-Extra,A 10.4-acre site would host facilities for homeless/at-risk women & children and veterans.,no,The source article does not mention the facilities hosting homeless/at-risk women & children and veterans.,Extrinsic Information,main
1148,Supportive Housing Facilities,Model-Extra,Three nonprofits would operate the housing and services.,no,The source article does not mention that the groups operating the housing and services are nonprofits.,Extrinsic Information,main
1149,Supportive Housing Facilities,Model-Extra,"The plan addresses homelessness through collaborative, community-based solutions.",no,"The source article does not mention or describe the plan as addressing ""homelessness through collaborative, community-based solutions"".",Extrinsic Information,main
1151,Supportive Housing Facilities,model_A,"The facilities aim to provide housing and support for women, children, and individuals in need.",no,The source article does not mention individuals in need.,Extrinsic Information,main
1153,Supportive Housing Facilities,model_B,"The facilities will provide temporary and long-term housing for individuals and families in need, including women and children.",no,"The source article does not mention that ""the facilities will provide temporary and long-term housing for individuals and families in need, including women and children"".",Extrinsic Information,main
1155,Supportive Housing Facilities,model_C,The facilities will provide affordable housing and support services to homeless individuals and families.,no,The source article does not mention the facilities will provide housing for homeless individuals and families.,Extrinsic Information,main
1156,Supportive Housing Facilities,model_C,The term sheet includes a commitment to maintain the properties for 55 years and a requirement for the developers to comply with local zoning and building codes.,no,"The source article does not mention ""a commitment to maintain the properties for 55 years"".",Extrinsic Information,main
1158,Supportive Housing Facilities,model_D,The facilities will provide supportive housing for individuals and families in need.,no,The source article does not specifically state that the facilities will provide supportive housing for individuals and families in need.,Extrinsic Information,main
1159,Supportive Housing Facilities,model_E,The recommendation is to approve an implementation term sheet with three organizations to build new supportive housing facilities for women and children and homeless individuals on a 10.4-acre parcel in Alameda Point.,no,The source article does not mention the housing facilities are for homeless individuals.,Extrinsic Information,main
1160,Collaborative Building Futures,model_A,"Collaborative Building Futures (CBF) will develop and operate supportive housing facilities for women and children on a 10.4 acre parcel in the Main Street neighborhood of Alameda Point, with Mid-Penn Housing LME 2.0 as the lead developer and Operation Dignity as a partner.",no,"The claim ""Mid-Penn Housing LME 2.0 as the lead developer and Operation Dignity as a partner."" is not supported in the source, the distinction (lead developer vs partner) is not drawn.",Nuanced Meaning Shift,marginal
1161,Collaborative Building Futures,model_A,"The implementation term sheet outlines the terms and conditions for the development and construction of the facilities, including affordability requirements, community benefits, and funding sources.",no,"The information in this sentence is not grounded in the source. The source documents has not mention of ""terms and conditions for the development"".",Extrinsic Information,marginal
1162,Collaborative Building Futures,model_B,"Collaborative Building Futures is a partnership between Mid-Penn Housing, LME 2.0, Operation Dignity, and Women and Children to relocate and construct new supportive housing facilities on a 10.4-acre parcel in the Main Street neighborhood of Alameda Point.",no,"From the source it is not clear that ""Collaborative Building Futures"" is a partnership between ""Mid-Penn Housing, LME 2.0, Operation Dignity, and Women and Children"".",Nuanced Meaning Shift,marginal
1163,Collaborative Building Futures,model_B,The goal of this partnership is to provide affordable housing and support services to low-income individuals and families.,no,"The goal of the partnership is not stated in the source, so ""to provide affordable housing and support services to low-income individuals and families"" is not grounded in the source.",Extrinsic Information,marginal
1165,Collaborative Building Futures,model_C,"The term sheet outlines the agreement between the parties, including the funding and timeline for the project.",no,The sentence is not grounded in the source. The details of what term sheet outlines are not described in the document.,Extrinsic Information,marginal
1166,Collaborative Building Futures,model_C,"The Collaborative Building Futures group will provide supportive services for residents, focusing on women and children.",no,"The claim that they will provide ""supportive services"" is not accurate as per source they will construct ""supportive housing facilities"".",Nuanced Meaning Shift,marginal
1169,Collaborative Building Futures,model_E,"The recommendation is to approve an implementation term sheet for the Collaborative Building Futures project, which aims to construct new supportive housing facilities for women and children on a 10.4 acre parcel in Alameda Point.",no,"From the source, it is not clear that the ""new supportive housing facilities"" are specifically for ""women and children"" as claimed in the summary. In the source it is not mentioned which demographic group the housing is meant for, but one of the involved groups mentioned is ""Women and Children"".",Extrinsic Information,marginal
1173,Relocation and Construction,model_C,"The implementation term sheet outlines the agreement's terms and conditions for the relocation and construction of the facilities, including funding, timeline, and obligations of each party.",no,The details of the term sheet are unknown.,Extrinsic Information,marginal
1174,Relocation and Construction,model_C,The goal is to provide affordable housing for individuals and families in need.,no,The goal of the initiative is not discussed and cannot be known.,Extrinsic Information,marginal
1176,Relocation and Construction,model_D,The project will provide 100 units of affordable housing for individuals and families experiencing homelessness.,no,The details of the project are not discussed in the source document.,Extrinsic Information,marginal
1177,Relocation and Construction,model_D,"The term sheet includes a timeline for construction, budget, and responsibilities of each partner organization.",no,The term sheet is not discussed in the document.,Extrinsic Information,marginal
1179,Relocation and Construction,Model-Extra,"Three nonprofits will relocate and build new facilities with 75-100 units for homeless/at-risk women, children, and veterans.",no,"1. The source article does not mention that the groups operating the housing and services are nonprofits.
2. Details of the relocation efforts are not discussed in the source document, so these details cannot be confirmed",Extrinsic Information,marginal
1180,Relocation and Construction,Model-Extra,The City will lease the land for $1/year and help finance construction.,no,"Details of the relocation efforts are not discussed in the source document, so these details cannot be confirmed",Extrinsic Information,marginal
1182,Relocation and Construction,model_E,The facilities will provide supportive housing for women and children and include services to help residents transition out of homelessness.,no,"Women and Children can be deduced from the name of the initiative, but homelessness cannot. The details of the initiative are not discussed.",Extrinsic Information,marginal
1184,Community Choice Aggregation,model_A,Community Choice Aggregation (CCA) is a program that allows cities and counties to purchase electricity on behalf of their residents and businesses.,no,The contents/purpose of CCA are not explicitly discussed in the text.,Extrinsic Information,main
1185,Community Choice Aggregation,model_A,"CCA allows for the creation of a local energy provider that offers cleaner, renewable energy options to customers.",no,The contents/purpose of CCA are not explicitly discussed in the text.,Extrinsic Information,main
1194,Community Choice Aggregation,Model-Extra,"They discussed Community Choice Aggregation, where cities buy electricity for residents.",no,Electricity isn't discussed in the text.,Extrinsic Information,main
1197,Community Choice Aggregation,model_D,Community Choice Aggregation (CCA) is a program that allows cities and counties to purchase electricity on behalf of their residents and businesses.,no,The program information is not mentioned in the text.,Extrinsic Information,main
1198,Community Choice Aggregation,model_D,It provides customers with a choice in their energy provider and allows for the development of renewable energy projects.,no,Community Choice Aggregation (CCA) isn't described in detail in the text.,Extrinsic Information,main
1210,Climate Action Adaptation Plan,model_C,The motion to move the item to another time for re-agenda was voted down.,no,"Per source document, the motions was ""carried"" not voted down.",Extrinsic Information,main
1215,Climate Action Adaptation Plan,model_E,The Climate Action Adaptation Plan includes initiatives to reduce greenhouse gas emissions and increase resiliency against climate change impacts.,no,"The source document has no mention of ""greenhouse gas emissions"" reduction. The program information is not mentioned in the text.",Extrinsic Information,main
1218,Endorsement from City Council,model_A,The council ultimately voted to endorse the Climate Action Adaptation Plan and consider the Community Choice Aggregation Initiative.,no,"The Climate Action Adaptation Plan and the Community Choice Aggregation Initiative are not endorsed. According to the document, they voted on a motion ""to move th[e] item to another time for re agenda."", and this motion carries.",Nuanced Meaning Shift,marginal
1233,Master Fee Schedule Changes,model_A,"The budget manager presented the changes to the City Council, and a representative from the Parks, Recreation and Marine department discussed the possibility of prorating animal control licensing fees to allow for more efficient renewal processes.",no,"A representative from the Parks, Recreation and Marine department does not discuss the possibility of prorating animal control licensing fees. Speaker 8 in the document mentioned that a representative ""can come up and talk on that"".",Extrinsic Information,main
1250,Cost Recovery Fees,model_B,"Dave Shukla speaks about animal control licensing fees, and Councilman Mongo brings up the issue of being able to prorate fees to save the department money.",no,"It is speaker 7 (Councilman Mongo, suggested by the document) that speaks about animal control licensing fees, not Dave Shukla. Shukla is not in the audience.",Mis-Referencing,main
1284,Funding Reduction,model_D,The exact amount of the reduction and the specific departments that will receive funding are not specified in the document.,no,"It is true that the specific departments that will receive funding are not specified in the document, but the exact amount of the reduction is specified in the document as $123,291.",Reasoning Error,marginal
1288,Collective Bargaining Reserve,model_B,The purpose is to support the workforce and ensure that the city can provide services to residents.,no,This purpose/justification for the request is not included in the documentation.,Extrinsic Information,marginal
1291,Collective Bargaining Reserve,model_E,"The document discusses a message in order to reduce the fiscal year 22 appropriation for the reserve for collective bargaining by $123,291 to provide funding for various departments for the fiscal year.",no,"It's not ANY message being discussed, it's ""docket number 0625 message."" Here, ""message"" seems to be a unit within a phrase that cannot be spliced away since it's referring specifically to its docket on the agenda, not a message like an email, phone call, or other form of communication.",Nuanced Meaning Shift,marginal
1292,Collective Bargaining Reserve,Model-Extra,"The city council voted to reduce the fiscal year 2022 appropriation for the Collective Bargaining Reserve by $123,291 in order to provide funding for various city departments.",no,The document does not show the city council taking a vote on this measure. It ends right after one of the council members introduces the measure from the docket. Any consideration or voting on the measure that occurred afterward is not included in the provided materials.,Reasoning Error,marginal
1293,Various Department Funding,model_A,"The document discusses the approval of reducing the fiscal year 22 appropriation for the reserve for collective bargaining by $123,291 in order to provide funding for various departments.",no,"The document mentions number 0625 about ""approval of reducing the fiscal year 22 appropriation"" in the last sentence of the document, but it does not discuss it. The document discusses number 0708.",Extrinsic Information,main
1297,Various Department Funding,model_C,The matter has been referred to the committee and a report recommending its passage has been submitted.,no,"There is no information about any report regarding reduction of the fiscal year 22 appropriation in the document. Submitted reports are discussed only in the context of ""Emergency Solution Grant.""",Extrinsic Information,main
1298,Various Department Funding,Model-Extra,"The City Council approved reducing a collective bargaining reserve fund by $123,291 to provide additional FY22 funding for various city departments.",no,"The document does not say the city council approved ""collective bargaining reserve fund by $123,291."" Reserve for collective bargaining is mentioned at the end of the document as part of docket number 0625, but no additional information is given.",Extrinsic Information,main
1300,Budget Performance,model_A,The report highlights the citywide budget performance for the fiscal year 2016 and recommends strategies to improve budgeting and financial management practices.,no,Budget performance for the fiscal year 2016 is not discussed in this source document. It is only briefly mention in the last sentence.,Extrinsic Information,marginal
